5.79	4.46	-1	5.79	2.46	-1
3.79	4.46	-1	5.79	4.46	-1
5.79	2.46	-1	3.79	2.46	-1
3.79	-2.46	-1	5.79	-2.46	-1
3.79	-4.46	-1	3.79	-2.46	-1
-5.79	-4.46	-0.5	-5.79	4.46	-0.5
5.79	-4.46	-0.5	-5.79	-4.46	-0.5
-5.79	4.46	-0.5	5.79	4.46	-0.5
3.79	2.46	-1	3.79	4.46	-1
5.79	4.46	-0.5	5.79	-4.46	-0.5
-5.79	-4.46	-1	-5.79	-2.46	-1
-3.79	2.46	-1	-5.79	2.46	-1
-5.79	-2.46	-1	-3.79	-2.46	-1
-3.79	-4.46	-1	-5.79	-4.46	-1
-3.79	-2.46	-1	-3.79	-4.46	-1
5.79	-4.46	-1	3.79	-4.46	-1
5.79	-2.46	-1	5.79	-4.46	-1
-5.79	2.46	-1	-5.79	4.46	-1
-3.79	4.46	-1	-3.79	2.46	-1
-5.79	4.46	-1	-3.79	4.46	-1
